Age,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality
24,7.7,7.9,3.4,2,37,10
21,6.3,6.0,1.9,5,74,2
22,5.1,6.7,3.9,5,53,5
24,6.3,8.6,2.8,4,55,9
20,4.7,2.7,2.7,0,85,3
25,4.9,12.0,3.2,3,96,9
22,6.5,11.7,3.4,1,99,6
22,6.1,7.8,3.0,1,108,4
24,8.6,2.4,1.4,1,86,7
19,5.8,8.2,2.0,3,44,8
20,6.9,0.9,3.8,5,108,6
24,7.2,0.4,1.7,0,33,5
20,4.1,3.1,2.1,3,8,6
20,7.3,5.6,2.3,1,87,5
25,4.9,10.4,2.3,4,7,8
22,8.8,8.7,2.8,2,6,1
21,4.7,8.9,3.8,3,35,7
25,6.1,5.1,1.7,3,17,10
25,4.4,4.2,1.4,0,2,10
20,9.0,4.5,1.6,0,27,2
23,6.5,11.9,3.7,3,69,9
22,7.0,0.5,2.9,1,107,1
19,4.3,10.4,1.9,2,43,10
25,7.7,6.9,3.4,0,20,6
21,5.0,5.3,3.6,1,27,9
23,8.5,8.7,3.5,4,103,1
23,5.0,5.8,3.8,0,53,4
19,5.0,10.5,1.8,1,53,4
25,4.2,10.8,3.3,1,64,9
21,6.4,5.1,2.4,2,99,5
22,6.8,3.3,3.5,2,20,5
18,4.3,7.1,3.2,4,106,6
21,7.9,10.9,3.3,1,98,1
19,6.3,2.5,3.0,5,12,1
23,6.6,7.5,1.5,1,56,9
22,6.2,7.6,2.6,2,48,3
21,6.0,8.8,4.0,5,117,4
18,6.8,1.6,3.8,0,53,1
18,4.8,8.6,1.1,0,9,9
20,4.9,10.9,1.5,3,52,8
20,8.3,2.2,1.4,2,43,2
24,8.7,2.9,3.2,3,46,8
19,5.9,11.7,3.5,5,52,7
25,5.4,2.2,1.6,2,73,6
21,7.2,10.3,2.5,4,45,1
21,6.0,5.9,3.5,1,12,7
25,4.1,3.0,3.2,4,36,10
24,4.8,10.4,2.6,5,101,7
23,7.6,5.3,2.8,2,23,9
23,7.3,6.2,2.5,5,1,1
24,4.1,4.3,1.9,1,85,2
23,5.1,7.1,2.7,0,80,9
20,5.2,2.0,3.1,0,99,9
21,7.4,4.7,3.6,5,13,6
24,4.1,11.6,2.9,3,9,6
21,4.5,3.1,3.3,2,34,4
25,8.0,7.9,1.5,2,24,4
18,4.9,3.9,2.4,0,2,5
20,7.3,9.3,1.0,4,110,3
22,5.2,1.6,1.7,1,101,1
20,4.5,11.6,3.2,4,16,1
24,5.2,5.4,4.0,4,11,7
22,7.6,2.8,1.3,5,53,1
18,8.3,0.9,2.2,0,115,1
24,8.2,2.0,3.4,0,23,3
19,6.0,6.2,1.6,0,28,10
21,7.3,4.0,2.7,5,42,4
18,5.0,9.9,3.2,3,24,4
21,5.5,5.2,2.8,4,99,2
23,8.5,3.0,1.6,5,59,1
19,4.1,7.4,2.1,2,89,3
19,4.4,8.5,3.4,1,101,4
18,5.0,2.0,2.7,3,64,3
19,4.1,2.0,1.0,2,83,8
22,4.9,0.4,3.3,4,118,10
19,6.9,8.8,1.1,0,27,1
21,6.1,8.0,3.2,4,15,2
21,8.5,5.7,1.6,5,46,7
24,8.1,10.1,3.9,1,80,4
21,5.7,9.7,2.1,5,103,8
24,5.3,7.0,2.0,3,91,3
21,5.9,10.4,1.4,3,57,6
22,7.0,2.5,1.9,1,75,9
25,5.3,1.3,3.6,2,26,1
24,7.1,3.2,4.0,2,117,1
20,6.0,0.7,2.1,3,52,8
23,6.8,6.4,2.3,3,41,3
18,6.2,11.2,3.2,0,58,5
21,5.5,0.5,3.7,2,46,1
19,8.7,1.5,2.8,1,93,5
25,7.8,5.4,2.2,2,104,6
21,4.7,11.2,2.2,0,33,8
19,8.3,3.8,3.1,5,36,3
23,6.4,6.1,1.0,3,5,3
23,8.5,0.5,2.9,3,6,10
23,8.0,1.8,2.1,0,95,9
19,6.1,11.8,3.4,1,95,4
21,4.1,11.6,1.3,3,116,4
23,5.3,0.1,2.8,4,24,7
22,6.7,11.4,2.4,3,32,2
24,7.2,7.7,2.9,4,54,8
19,5.3,10.4,1.2,0,57,6
19,4.7,5.5,2.7,0,6,3
21,8.2,6.2,2.7,3,115,9
19,8.9,5.9,2.7,2,56,5
19,6.6,8.0,2.8,4,11,8
23,4.9,1.7,3.0,1,15,7
21,5.4,0.4,3.4,3,79,8
23,4.1,3.7,1.8,1,42,7
24,8.6,8.5,3.5,3,116,3
25,4.6,2.4,2.5,2,99,2
24,6.9,8.1,1.2,2,76,7
25,5.4,11.6,1.2,2,6,3
23,6.8,1.1,2.0,5,99,3
24,7.3,8.1,3.4,2,110,2
21,8.1,5.3,3.1,0,50,4
18,5.0,10.4,3.4,0,72,8
23,4.1,2.1,2.6,5,31,1
25,4.7,8.3,2.3,4,74,1
22,8.5,10.1,1.4,1,7,5
25,8.4,11.3,2.0,3,96,5
22,7.0,8.2,2.3,3,86,1
19,7.0,6.0,1.3,5,88,6
24,7.3,7.4,1.7,0,119,1
22,4.9,10.4,2.8,3,71,5
25,8.6,6.8,3.2,0,44,9
19,6.1,0.4,4.0,4,85,5
18,5.9,11.2,3.8,1,58,6
21,6.6,8.3,2.9,4,3,8
21,4.2,8.1,2.3,5,103,1
21,4.8,2.6,2.9,2,66,2
22,7.7,7.9,3.4,2,28,9
18,4.4,4.7,1.4,2,104,3
22,7.0,7.8,2.2,4,28,6
24,5.2,1.3,3.5,3,97,5
22,5.9,7.9,2.2,1,97,2
18,5.4,12.0,2.7,2,27,7
18,5.8,0.6,2.8,5,76,4
24,7.6,11.7,1.6,5,78,1
18,5.5,4.9,2.1,2,86,4
25,6.8,10.4,2.0,2,43,6
18,6.4,9.4,1.1,1,89,7
21,7.3,6.8,1.1,2,3,7
25,8.7,8.9,3.5,1,89,7
25,7.7,10.5,1.8,5,103,3
24,5.1,4.8,2.6,2,8,6
20,4.2,3.9,1.9,4,118,8
20,5.3,8.0,3.8,4,4,4
18,7.0,9.7,1.8,5,55,8
25,4.3,9.1,2.3,1,95,2
20,6.5,9.6,3.6,4,83,10
20,7.0,5.2,3.5,1,49,9
18,5.7,9.8,1.6,4,74,9
20,7.9,1.4,3.4,4,14,8
22,4.5,6.5,2.4,1,31,10
19,4.4,0.1,2.4,3,27,10
24,7.6,3.9,1.4,4,21,1
19,6.5,4.4,1.2,2,104,2
18,7.4,4.8,3.2,5,16,6
21,6.2,8.3,2.5,3,58,10
24,5.2,4.7,2.3,1,89,5
18,8.1,5.4,3.2,3,107,9
25,8.0,2.9,3.3,0,70,5
21,7.5,4.5,1.5,0,105,2
19,5.4,2.7,2.8,4,56,10
18,7.0,0.9,1.4,4,25,4
25,5.8,7.2,3.3,2,24,9
24,4.5,8.0,3.0,5,9,1
24,8.6,7.4,3.9,3,44,1
23,4.7,5.6,1.2,0,82,7
25,8.8,4.6,1.2,4,10,3
22,6.2,10.4,1.8,5,76,10
20,4.9,6.2,1.8,3,52,2
21,6.7,5.8,1.7,4,71,9
25,8.4,0.3,3.7,4,103,3
23,7.7,4.1,1.7,0,67,2
20,8.0,4.6,1.8,0,110,8
20,7.3,4.8,3.3,4,94,10
18,7.5,7.0,2.3,1,27,6
20,8.2,6.4,3.3,4,74,6
22,5.2,7.3,1.2,5,106,10
24,6.4,9.2,2.5,4,64,7
23,5.1,9.8,1.1,2,48,7
20,8.9,8.6,1.2,2,46,6
18,8.7,11.5,3.7,2,51,4
22,4.2,0.2,1.4,1,101,9
19,7.5,2.3,2.6,1,87,6
24,8.6,0.1,2.2,4,53,4
24,4.9,7.8,2.0,2,59,3
23,6.8,10.8,3.7,1,56,4
24,8.6,2.9,1.1,0,46,3
20,4.2,11.1,3.0,4,30,2
18,7.5,0.7,3.9,5,104,5
24,5.5,11.2,2.7,3,45,2
24,8.6,4.2,3.8,4,113,6
19,8.9,1.2,1.2,3,25,3
19,8.7,5.8,2.3,2,112,6
21,6.4,3.1,1.8,3,113,10
22,8.3,3.4,3.2,2,4,9
20,8.2,3.7,3.9,0,83,1
24,5.6,9.6,1.8,3,51,6
25,8.1,6.5,3.0,4,104,9
24,4.2,3.7,1.6,2,74,4
18,7.0,7.3,2.7,4,119,2
21,5.2,8.6,2.4,1,53,4
22,4.6,3.3,3.9,2,32,1
25,4.4,5.0,2.8,3,49,3
21,7.5,1.5,2.0,2,37,10
23,5.7,2.2,1.3,4,26,9
22,7.6,8.2,1.5,0,97,10
24,4.3,2.2,1.7,2,14,5
24,5.6,6.3,1.8,3,95,6
22,6.7,8.5,3.6,1,60,3
24,8.0,1.3,2.7,5,20,5
20,5.6,6.8,2.6,0,45,8
22,7.1,3.1,1.3,1,68,6
21,8.4,11.6,3.6,2,5,4
22,7.1,5.8,3.2,4,37,2
25,5.2,9.7,1.2,4,61,9
24,4.1,6.6,3.1,3,85,1
20,8.4,0.5,2.6,4,61,1
20,4.1,7.6,1.2,0,81,4
23,8.4,11.4,2.4,4,77,7
21,6.6,7.2,2.5,3,73,1
19,8.7,9.8,1.5,5,45,9
19,8.0,10.6,3.8,2,12,4
22,9.0,2.7,3.5,2,94,3
23,5.8,2.5,3.0,4,93,1
18,7.8,7.3,2.4,1,2,10
22,6.0,4.9,2.2,2,93,4
23,6.4,10.1,3.0,5,5,9
21,7.1,10.8,2.6,4,92,10
21,8.4,4.2,1.2,3,7,6
21,8.9,2.8,2.5,5,43,6
21,7.8,9.4,3.4,4,108,1
21,6.1,3.3,2.4,5,106,10
23,6.1,9.9,1.2,2,107,2
23,7.7,5.1,3.4,3,32,6
20,5.2,8.0,1.6,4,80,2
25,4.6,1.1,1.8,0,111,3
19,5.8,7.5,1.5,3,74,4
24,5.4,5.4,2.0,0,76,5
21,5.5,7.0,3.3,5,49,9
18,5.2,2.0,2.6,1,10,4
24,4.2,8.8,1.6,3,94,9
23,4.1,10.4,3.6,5,27,10
18,8.9,2.6,3.6,0,107,3
18,6.1,1.1,3.6,2,69,8
18,5.9,0.3,1.7,2,40,1
20,7.4,7.7,2.4,1,15,9
23,5.1,7.3,4.0,3,67,9
18,8.7,6.6,3.3,3,98,10
21,7.9,2.8,1.1,3,47,2
22,4.4,4.7,1.2,5,55,4
18,6.1,7.1,2.4,1,63,8
20,8.4,6.0,3.7,3,58,7
24,8.7,11.9,2.6,5,89,1
23,6.3,1.6,2.5,2,61,5
25,7.1,8.3,1.3,0,120,7
20,4.8,4.9,3.0,5,75,4
18,9.0,5.1,3.5,2,10,1
23,5.2,8.6,2.1,2,100,9
22,8.7,8.3,3.3,0,88,5
18,7.2,11.9,3.9,2,17,2
20,7.0,1.5,1.6,1,18,8
19,6.6,1.2,2.6,0,86,2
21,5.2,8.7,1.9,2,54,3
25,4.9,6.9,3.4,4,101,10
24,5.1,3.3,2.7,5,117,1
20,4.9,1.0,2.9,2,81,2
23,7.9,1.0,3.4,1,25,7
25,5.8,10.7,2.2,3,5,10
25,4.3,2.3,3.7,2,3,2
25,8.8,3.9,2.6,3,107,6
18,8.4,2.7,1.5,4,114,3
21,8.6,4.3,3.1,2,28,4
18,9.0,0.8,3.4,0,58,8
23,4.9,6.2,2.0,3,97,3
18,6.0,0.8,3.6,4,16,10
19,7.8,9.6,3.7,0,106,6
21,7.5,2.8,1.8,0,42,1
21,4.8,6.5,4.0,0,116,7
23,8.1,10.6,1.4,0,79,8
24,5.1,7.8,1.6,2,65,8
19,5.1,6.4,1.6,5,33,3
20,6.7,3.9,3.7,2,118,10
18,7.0,4.0,3.0,2,7,1
22,6.9,8.0,1.5,4,12,9
18,4.5,11.9,2.3,4,105,6
25,8.4,7.9,2.8,5,7,9
18,5.3,6.7,1.3,4,93,7
20,4.6,8.8,3.6,1,95,1
18,8.4,5.6,3.4,5,99,1
19,8.8,0.7,2.5,4,110,6
19,8.3,6.7,3.9,5,93,5
21,8.0,11.5,2.3,2,64,9
23,7.3,2.1,4.0,2,42,2
24,6.8,8.3,3.0,5,38,8
22,4.4,2.4,2.9,1,80,5
25,6.0,6.4,1.5,1,58,2
